Brand = TVS                                                        age = less than or equal to 2
Owner = First Owner
+---------------------------------------------------------------+--------+-------------------+----------+-----------+---+-----+-----+
|bike_name                                                      |price   |city               |kms_driven|owner      |age|power|brand|
+---------------------------------------------------------------+--------+-------------------+----------+-----------+---+-----+-----+
|TVS Apache RTR 160 4V DISC ABS BS6                             |85000.0 |Hyderabad          |16000.0   |First Owner|2.0|160.0|TVS  |
|TVS Apache RTR 160 4V Disc                                     |78700.0 |Rudrapur           |3710.0    |First Owner|2.0|160.0|TVS  |
|TVS Apache RTR 200 4V ABS Race Edition                         |108500.0|Delhi              |10000.0   |First Owner|2.0|200.0|TVS  |
|TVS Apache RTR 200 4V ABS Race Edition                         |108500.0|Delhi              |10000.0   |First Owner|2.0|200.0|TVS  |
|TVS Apache RTR 160 4V DISC ABS                                 |87000.0 |Delhi              |7000.0    |First Owner|2.0|160.0|TVS  |
|TVS Apache RTR 160 4V DRUM ABS                                 |85000.0 |Gurgaon            |7000.0    |First Owner|2.0|160.0|TVS  |
|TVS Apache RTR 160 4V DISC ABS                                 |91800.0 |Delhi              |1050.0    |First Owner|2.0|160.0|TVS  |
|TVS Apache RTR 160 4V DISC ABS                                 |89000.0 |Delhi              |3000.0    |First Owner|2.0|160.0|TVS  |
|TVS Apache RTR 160 4V Disc                                     |74700.0 |Gautam Buddha Nagar|20194.0   |First Owner|2.0|160.0|TVS  |
|TVS Apache RTR 160 4V Disc                                     |74700.0 |Gautam Buddha Nagar|20194.0   |First Owner|2.0|160.0|TVS  |
|TVS Apache RTR 200 4V Carburetor Race Edition 2.0              |93500.0 |Bangalore          |2500.0    |First Owner|2.0|200.0|TVS  |
|TVS Apache RTR 200 4V Dual Channel ABS BS6                     |130000.0|Bangalore          |1300.0    |First Owner|1.0|200.0|TVS  |
|TVS Apache RTR 160 4V DISC ABS BS6                             |98000.0 |Jaipur             |749.0     |First Owner|1.0|160.0|TVS  |
|TVS Apache RR310                                               |200000.0|Mumbai             |4400.0    |First Owner|2.0|310.0|TVS  |
|TVS Apache RTR 200 4V ABS Race Edition                         |125000.0|Hyderabad          |530.0     |First Owner|2.0|200.0|TVS  |
|TVS Apache RTR 160cc Matt Red Rear Disc                        |76000.0 |Delhi              |8000.0    |First Owner|2.0|160.0|TVS  |
|TVS Apache RTR 160cc Matt Red Rear Disc                        |76000.0 |Delhi              |8000.0    |First Owner|2.0|160.0|TVS  |
|TVS Apache RTR 200 4V Carburetor Pirelli Tyres Race Edition 2.0|122000.0|Chennai            |3100.0    |First Owner|2.0|200.0|TVS  |
|TVS Apache RR310 Slipper Clutch                                |224000.0|Vadodara           |3900.0    |First Owner|2.0|310.0|TVS  |
|TVS Apache RTR 200 4V Carburetor Pirelli Tyres Race Edition 2.0|98500.0 |Delhi              |2800.0    |First Owner|2.0|200.0|TVS  |
|TVS Apache RTR 160 4V DISC ABS                                 |89135.0 |Delhi              |2800.0    |First Owner|2.0|160.0|TVS  |
|TVS Apache RTR 180cc                                           |88000.0 |Gurgaon            |900.0     |First Owner|2.0|180.0|TVS  |
|TVS Apache RTR 200 4V Carburetor Pirelli Tyres Race Edition 2.0|122000.0|Chennai            |3100.0    |First Owner|2.0|200.0|TVS  |
|TVS Apache RTR 200 4V ABS                                      |92000.0 |Mumbai             |4500.0    |First Owner|2.0|200.0|TVS  |
|TVS Apache RTR 200 4V ABS                                      |92000.0 |Mumbai             |4500.0    |First Owner|2.0|200.0|TVS  |
|TVS Victor 110cc Disc SBT                                      |54000.0 |Delhi              |6000.0    |First Owner|2.0|110.0|TVS  |
|TVS Victor 110cc Disc SBT                                      |54000.0 |Delhi              |6000.0    |First Owner|2.0|110.0|TVS  |
|TVS Apache RTR 160 4V DISC ABS                                 |85000.0 |Delhi              |11496.0   |First Owner|2.0|160.0|TVS  |
|TVS Apache RTR 160 4V DISC ABS                                 |94000.0 |Ahmedabad          |893.0     |First Owner|2.0|160.0|TVS  |
|TVS Apache RTR 160cc White Race Edition Rear Disc              |82000.0 |Bangalore          |52198.0   |First Owner|2.0|160.0|TVS  |
|TVS Apache RTR 160 4V Carburetor With Rear Disc                |85000.0 |Mumbai             |6821.0    |First Owner|2.0|160.0|TVS  |
|TVS Apache RTR 160 4V DISC ABS                                 |85000.0 |Delhi              |11496.0   |First Owner|2.0|160.0|TVS  |
|TVS Apache RTR 160 4V Disc                                     |92000.0 |Mumbai             |14289.0   |First Owner|2.0|160.0|TVS  |
|TVS Star City Plus 110cc                                       |51000.0 |Ahmedabad          |12000.0   |First Owner|2.0|110.0|TVS  |
|TVS Apache RTR 160 4V Carburetor                               |90000.0 |Ghaziabad          |2672.0    |First Owner|2.0|160.0|TVS  |
|TVS Apache RTR 160 4V Carburetor                               |90000.0 |Ghaziabad          |2672.0    |First Owner|2.0|160.0|TVS  |
|TVS Apache RTR 200 4V ABS Race Edition                         |106000.0|Delhi              |1890.0    |First Owner|2.0|200.0|TVS  |
|TVS Apache RTR 180cc                                           |90000.0 |Ghaziabad          |3095.0    |First Owner|2.0|180.0|TVS  |
|TVS Apache RTR 200 4V FI                                       |102000.0|Thane              |8120.0    |First Owner|2.0|200.0|TVS  |
|TVS Apache RTR 180cc                                           |90000.0 |Ghaziabad          |3095.0    |First Owner|2.0|180.0|TVS  |
|TVS Apache RTR 200 4V ABS Race Edition                         |128000.0|Bangalore          |4000.0    |First Owner|2.0|200.0|TVS  |
|TVS Apache RTR 160 4V Carburetor                               |90700.0 |Delhi              |900.0     |First Owner|2.0|160.0|TVS  |
|TVS Apache RR310                                               |220000.0|Noida              |5432.0    |First Owner|2.0|310.0|TVS  |
